Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2211813,132.862963,135.665738,217.523277,215.297953,0,0,178.85357,0,0,211.089203,79.42936,179.371119,212.080407,296.114115,369.51914
KAF2211814,29.227446,32.812696,36.335157,0,887.528013,0,0,0,0,0,381.197131,193.688393,81.425249,130.00288,143.560553
KAF2211815,1.143952,1.610403,3.126897,0,0,0,0,0,0,0,97.476853,0,2.602681,9.777457,5.398562
KAF2211816,4.387856,5.720622,8.893924,0,0,0,62.311958,0,0,0,0,0,11.822091,17.579707,26.565227
KAF2211817,6.292271,8.474043,11.786386,0,0,0,0,0,0,26.038875,0,0,61.04267,18.427353,54.264255
KAF2211818,62.3986,69.910492,73.51548,54.508698,0,103.247762,90.563566,72.284001,72.38773,72.682664,0,102.178834,52.262244,73.96101,75.734275
KAF2211819,36.974532,32.986086,22.023256,85.475433,0,0,0,0,56.755828,16.760904,21.022832,17.803031,11.226405,16.869633,17.464617
KAF2211820,2.435713,2.793462,6.108763,0,0,0,0,76.298282,38.203886,4.512887,21.226557,0,12.090876,12.419977,12.539634
KAF2211821,7.198265,9.326663,16.128551,0,0,0,135.701598,0,0,25.625559,0,34.023569,8.581963,18.134856,11.125608
KAF2211822,1.912798,1.566564,1.901833,0,0,0,69.392862,0,27.732961,0,20.54504,0,8.777007,7.727921,4.551385
KAF2211823,16.566043,15.224233,7.138031,164.923752,0,0,0,0,0,38.807938,0,0,21.661204,42.721535,17.972136
KAF2211824,3.209576,3.771038,4.568282,83.397424,119.391937,0,0,110.59335,0,6.54137,0,0,4.381391,5.657957,4.544008
KAF2211825,0.349466,0.441505,0.477618,0,0,0,0,0,0,0,0,0,0,0,0
KAF2211826,5.759721,5.81665,17.133607,0,0,0,0,0,0,0,82.717286,0,123.681227,101.638161,160.339642
KAF2211827,23.210582,17.702819,19.294836,0,0,0,0,0,0,20.875994,26.1843,0,50.33765,31.517128,26.102978
KAF2211828,25.570373,20.347669,17.265764,53.71212,153.788779,0,89.24009,0,0,21.064852,0,11.187291,26.807436,25.83933,32.19226
KAF2211829,30.911501,23.355694,20.796648,202.317998,0,0,168.070786,0,134.339482,63.476156,49.760464,84.278567,69.088737,59.894936,27.558845
KAF2211830,32.701464,32.763901,76.448656,0,0,0,0,0,0,24.431147,30.64345,0,3.272782,16.905374,13.577013
KAF2211831,662.475106,603.766754,116.388432,292.364834,209.275071,138.445862,0,193.852548,194.130729,389.843378,197.746012,106.565299,249.596146,301.131336,215.052941
